"","Country","Country_code","Year","ln_CO2","ln_IU","ln_MIS","ln_OP","ln_GDP","ln_TOG","ln_REC","ln_ERT","ln_R","ln_GEE","ln_LS","ln_LE","ln_ME","ln_HDI","ln_AE","ln_SE","ln_TR","ln_UP","ln_UPP","ln_MAN","ln_IND","ln_FDI","ln_Exp","ln_Man_2","ln_FDI_2"
"Austria-2013","Austria",2,"2013",2.04817009411341,4.38973187293423,5.05317065388758,3.9887821743376,10.8342949509759,4.64502929230944,3.54356462294908,9.28711991516107,7.09207483843876,2.37400206153916,1.95677194700436,4.39613397365213,2.46704304137906,-0.0998203352822109,4.60517018598809,4.4569262933611,4.64502934913495,15.3969585827664,4.04892869869162,3.27111189625489,3.23663012495119,4.11066747477366,25.9769088547223,2.80310152146024,0.104862185985247
"Austria-2014","Austria",2,"2014",1.98243550608533,4.39439760964031,5.02099605226377,3.97641464077853,10.8548824047563,4.63960576913724,3.5743099993708,9.32038868273304,7.11558212618445,2.34287835278803,1.95275408456191,4.40048330636286,2.48611425367416,-0.0954101848046582,4.60517018598809,4.46073522203531,4.63960581501907,15.4080824350922,4.05223701951653,3.34348394980636,3.21403418781029,4.12453441529897,26.0053758136847,2.80699106990885,0.386858115054066
"Austria-2015","Austria",2,"2015",1.99022212058907,4.43010394875462,5.04899867446017,4.05529010191472,10.696385439036,4.62915342888092,3.55019193434004,9.16957983390077,7.12326980313186,2.3696341667396,1.98701478359563,4.39679509096442,2.49130198927269,-0.0943106794712413,4.60517018598809,4.46258709290685,4.62915357152665,15.422572449896,4.05551710506688,3.29339673853447,3.21277745063371,4.11094389466647,26.0354116204874,2.8148119220814,-2.08805653898309
"Austria-2016","Austria",2,"2016",1.98634166504776,4.43466346912589,4.84275496618813,4.05331421266411,10.7212297999175,4.61494305831168,3.54500908369423,9.19045496125355,7.13393421883987,2.39275757179564,2.00093955903538,4.40233726299699,2.49441628949168,-0.0888312137066157,4.60517018598809,4.47018848503183,4.61494307535688,15.4366730678933,4.05880373663634,3.4156545576086,3.32835580429611,4.11240893019819,26.0648549381046,2.83599855785175,-7.31091695803709
"Austria-2017","Austria",2,"2017",2.01305619389888,4.47660457588877,4.81569727944902,4.1200886543344,10.7669924758603,4.65337775126782,3.52577211624379,9.26364129971855,7.16734647126739,2.38839390297434,1.9734365319067,4.40236713737523,2.49807950549825,-0.0877389143080067,4.60517018598809,4.46592317601249,4.65342906619405,15.4468778541518,4.06206238830138,3.37776929975553,3.34073472988321,4.11358800058096,26.1126732686797,2.82391778375656,3.23990497953366
"Austria-2018","Austria",2,"2018",1.96474086433,4.47140033327708,4.82226506088671,4.0993586373778,10.8486874885895,4.68142393543741,3.52959059643055,9.3025904198036,7.17096533950943,2.37205709009946,1.9759527531964,4.40296443759607,NA,-0.0866478067256722,4.60517018598809,NA,4.68315685839202,15.455236909303,4.06555063405645,3.41906421479582,3.33527461068143,4.12359861169293,26.1633513630671,2.82308883478336,-6.2871015854224
"Austria-2019","Austria",2,"2019",1.98704993341181,4.47451698784229,4.79404608606863,4.13365020766597,10.8211853609794,4.68107509091624,3.51957283439748,9.22429258559419,7.21759015607505,2.373384574376,1.98345361221839,4.40543942805002,2.50607191036912,-0.08446915662645,4.60517018598809,NA,4.68009007130824,15.4634160153763,4.06928313162673,3.29768215062599,3.23635419382265,4.09984060595572,26.2024254181591,2.8088611630143,-2.78754883904721
"Belgium-1990","Belgium",3,"1990",2.39487022155928,-6.90103789123461,-0.842712470706814,NA,9.93306457203808,4.79964962755762,0.238592790672912,NA,5.31320597904179,NA,NA,4.33141667543747,NA,-0.20334092401803,4.60517018598809,NA,4.79964961871195,16.0779256313562,4.56826758393795,3.26118252297528,3.21315207328947,4.1182434672932,25.6697043837484,NA,NA
"Belgium-1991","Belgium",3,"1991",2.43281391722656,-3.90839733611785,-0.663849148238251,NA,9.95425959206229,4.77567332727117,0.194811347891316,NA,5.38449506278909,NA,NA,4.33325903122556,NA,-0.199671195129068,4.60517018598809,NA,4.77567334651399,16.0825127210409,4.56913878157859,3.26118252297528,3.21315207328947,4.12680939117848,25.6998008161042,NA,NA
"Belgium-1992","Belgium",3,"1992",2.41435024029177,NA,-0.488427777097421,NA,10.059320495323,4.74553444694721,0.177588039020325,NA,5.56068163101553,NA,NA,4.33534400419189,NA,-0.180323554131282,4.60517018598809,NA,4.74553438175487,16.0874092011612,4.56997814681908,3.26118252297528,3.21315207328947,4.13259121902474,25.7358127501359,NA,NA
